Sector,Year,Name,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman and Nicobar,Chandigarh,Dadra and Nagar Haveli,Daman and Diu,Jammu and Kashmir,Lakshadweep,Puducherry
Rural,2011,January,104,NA,104,NA,105,NA,103,104,104,104,105,104,107,104,104,104,104,104,NA,105,104,NA,NA,105,NA,105,103,NA,104,105,104,104,103,104,103,106
Urban,2011,January,103,NA,103,NA,104,NA,103,104,104,103,104,104,107,103,103,104,104,104,NA,105,103,NA,NA,104,NA,105,103,NA,104,105,103,104,103,104,102,105
Rural+Urban,2011,January,103,NA,104,NA,104,NA,103,104,104,103,105,104,107,104,104,104,104,104,NA,105,104,NA,NA,104,NA,105,103,NA,104,106,103,104,104,104,104,104
Rural,2011,February,107,NA,105,NA,107,NA,105,106,106,105,107,106,108,105,105,103,108,106,NA,108,105,NA,NA,107,NA,107,104,NA,107,105,104,107,104,105,104,107
Urban,2011,February,106,NA,106,NA,106,NA,105,107,107,105,107,108,109,106,107,102,107,109,NA,106,105,NA,NA,108,NA,108,105,NA,108,104,103,106,104,105,105,108
Rural+Urban,2011,February,105,NA,105,NA,105,NA,104,105,106,104,106,106,108,105,105,103,106,106,NA,106,104,NA,NA,106,NA,107,104,NA,107,104,103,106,104,105,103,106
Rural,2011,March,103.1,NA,103.8,NA,103.9,NA,103.9,105.4,105,104.3,104.9,104.8,107.1,104.1,104.7,103.8,104.8,105.8,NA,105,104.5,NA,NA,103.9,NA,105,103.9,NA,104.8,106.8,103.9,105.8,104.1,105.5,108.6,104.7
Urban,2011,March,103.6,NA,104.6,NA,104.3,NA,104.3,106,105.5,104.8,105.1,105.4,107.9,104.8,105.2,104.1,105.6,107.3,NA,105.8,105.3,NA,NA,104.6,NA,105.3,105.3,NA,105.2,107.9,104.6,106.2,105.5,105.8,110.9,105.2
Rural+Urban,2011,March,108,NA,105,NA,108,NA,106,108,107,106,109,108,109,106,108,102,109,108,NA,109,105,NA,NA,109,NA,108,105,NA,108,105,105,108,104,106,105,110
Rural,2011,April,105,NA,106,NA,105,NA,104,106,106,104,106,106,108,106,105,103,111,107,NA,106,104,NA,NA,105,NA,107,103,NA,107,104,103,105,104,106,104,105
Urban,2011,April,104.9,NA,107.1,NA,105.4,NA,105.4,107.1,107.3,105,106.8,107,108.8,106.1,106,102.7,111.1,108.3,NA,106.8,104.9,NA,NA,105.5,NA,107.8,104.2,NA,107.7,105.1,103.9,105.8,104.7,106.6,107.1,105.5
Rural+Urban,2011,April,106,NA,106,NA,106,NA,106,108,108,105,107,108,109,107,107,102,114,110,NA,107,105,NA,NA,108,NA,109,103,NA,109,103,102,105,104,107,105,107
Rural,2011,May,106.1,NA,107.9,NA,106.2,NA,107,109.2,108.7,105.2,107.7,109.3,109.6,107.5,108.3,102.1,113.3,111.1,NA,107.4,105.2,NA,NA,107.5,NA,108.8,104.3,NA,110,103.4,103.4,105.8,105,107.2,105.4,107.8
Urban,2011,May,105.88,NA,108.58,NA,106.04,NA,105.65,108.22,107.83,105.54,106.96,107.52,109.79,107,106.89,102.68,111.12,109.39,NA,107.97,105.56,NA,NA,106.47,NA,107.41,105.04,NA,108.76,106.11,104.59,106.93,105.82,107.76,108.57,105.73
Rural+Urban,2011,May,108.6,NA,111.4,NA,107.3,NA,109,112.4,110.7,107,109,111,111.9,109.5,110.5,102.2,113.5,112.9,NA,109.9,106.5,NA,NA,110.5,NA,109.8,105.7,NA,113.3,107,104.1,108,106.3,108.8,105.6,107.9
Rural,2011,June,107.4,NA,109.5,NA,106.9,NA,107.1,110.9,109.2,105.7,107.9,109.8,110.7,108.6,109.8,102,113,111.8,NA,108.7,105.8,NA,NA,108.9,NA,108.2,104.9,NA,111.5,104.4,104.3,107.2,106,108.9,105.8,107.3
Urban,2011,June,107.6,NA,110.6,NA,107.2,NA,107.9,110,109.5,107.1,108.4,110,111.5,108.3,108.5,103.4,111.9,111,NA,109.6,106.9,NA,NA,108.5,NA,109.1,106.2,NA,110.6,108.1,107.4,107.7,106.6,108.9,109.1,107.6
Rural+Urban,2011,June,106,NA,106.9,NA,107.1,NA,106.9,108.1,107.5,107.3,107.2,109,110.6,106.6,107.3,106,107.1,109.4,NA,108.8,107.4,NA,NA,106.9,NA,107.2,107.1,NA,107,109.3,107.6,106.9,107.1,109,112.1,107.5
Rural,2011,July,110.8,NA,112.3,NA,110.9,NA,111.2,114.3,111.6,107.8,111.6,112.7,112.6,111.1,112,102.1,118.4,111.2,NA,112.2,108.3,NA,NA,111.3,NA,111.2,108.3,NA,115.3,107.9,106,108.4,107.7,109.6,109.5,110.7
Urban,2011,July,109.6,NA,111.7,NA,110.3,NA,109.2,111.9,110.7,107.9,111.1,111.6,112.1,109.9,110,103.8,115.9,111.2,NA,111.7,108.7,NA,NA,109.4,NA,110.4,108.4,NA,112.4,109.5,109.2,108.3,108,109.9,111.5,109.1
Rural+Urban,2011,July,107.8,NA,109,NA,109,NA,107.4,110,109.2,108.4,110.2,110.5,111.2,108.3,108.8,107.3,108.7,111.2,NA,110.1,109.1,NA,NA,107.9,NA,108.2,108.7,NA,108.6,111.2,109.4,108.2,108.6,110.3,113.2,108.6
Rural,2011,August,109,NA,110,NA,109.9,NA,108.1,111.4,109.5,108.7,111.1,111.3,113.1,109.4,109.5,109.6,109.5,111.6,NA,110.9,109.5,NA,NA,109,NA,108.9,109.7,NA,109.6,113.3,110.2,109.1,109.5,111.1,116.3,109.3
Urban,2011,August,110.9,NA,113.4,NA,111,NA,109.5,113.3,111.4,109.1,112.4,112.6,114.3,111.3,110.7,107.4,117.8,111.1,NA,112.3,109.4,NA,NA,110.4,NA,110.8,110,NA,114.5,111.2,110.1,109.6,109.4,111.4,115.2,109.6
Rural+Urban,2011,August,112.1,NA,114.2,NA,111.6,NA,111.1,115.7,112.5,109.2,113,113.9,114.8,112.6,112.7,106.4,120.6,110.6,NA,112.8,109.3,NA,NA,112.2,NA,111.5,110.2,NA,118.2,109.1,108,109.8,109.4,111.6,113.9,110.6
Rural,2011,September,110,NA,111.1,NA,111.2,NA,110,112.9,110,110,112.1,112.3,114.4,110.6,110.9,112,110.2,113.1,NA,112.3,110.5,NA,NA,110.1,NA,109.5,110.5,NA,109.9,115.3,111.4,110.3,110.4,112.4,117.5,111.2
Urban,2011,September,112,NA,113.8,NA,112.9,NA,111.4,114.9,112.5,110,113.4,113.8,115.7,112.9,112.1,109.4,119.9,111.5,NA,114.1,110.2,NA,NA,111.5,NA,111.5,111.3,NA,115.2,110.9,111.3,109,111.5,112.7,116.5,111.3
Rural+Urban,2011,September,113.3,NA,114.4,NA,113.8,NA,113,117.3,113.9,110,114.1,115.4,116.3,114.6,114.1,108.1,123.2,109.6,NA,114.7,110,NA,NA,113.3,NA,112.3,111.8,NA,119.3,106.7,110.1,108.5,112.1,112.8,115.4,111.7
Rural,2011,October,111.3,NA,112.3,NA,112.5,NA,110.9,113,111.1,111.1,113.6,113.5,114.7,111.2,111.6,113.9,110.7,113.9,NA,113.6,111.7,NA,NA,111.5,NA,110.8,111.5,NA,110.4,115.9,112.7,111.8,110.6,113,114.5,111.9
Urban,2011,October,111.9,NA,112.2,NA,112.4,NA,111.7,112.9,111.2,112.2,112.1,115,116.1,111.8,112.1,112.6,110.7,115.2,NA,112.9,111.7,NA,NA,114.3,NA,110.8,110.7,NA,109.8,115.4,113.5,111.6,111.7,113,114.7,113.2
Rural+Urban,2011,October,112.2,NA,112.3,NA,113.2,NA,111.5,113.2,110.9,111.8,113.4,114.4,116,111.9,112.3,113.3,111,114.6,NA,113.8,111.4,NA,NA,113,NA,111.6,111.5,NA,110,115.9,113.9,112.4,111,113.1,115.1,112.9
Rural,2011,November,113,NA,115.5,NA,113.4,NA,112,115.3,113.1,111.3,114.4,114.8,115.6,114.1,113,111.1,123.8,112,NA,114.9,111.5,NA,NA,112.8,NA,114.3,113,NA,115.4,111.9,112.6,109.7,111.6,113.4,115.4,112.2
Urban,2011,November,114.1,NA,116.3,NA,113.9,NA,113.1,118,114.3,111.4,114.8,116.2,116,116.2,115.4,109.8,128.2,109.9,NA,115.3,111.3,NA,NA,114.4,NA,115.6,113.9,NA,119.3,108.1,111.3,108.9,112.2,113.7,116.5,113.2
Rural+Urban,2011,November,112.6,NA,112.4,NA,112.4,NA,112.2,113.4,111.6,112.9,111.9,115.7,116.3,111.9,112.3,112.4,111.2,116,NA,113.1,112.2,NA,NA,114.8,NA,111.7,111.1,NA,111,116.5,114.3,112.9,113,114,114.7,114.6
Rural,2011,December,113.3,NA,113,NA,112.7,NA,112.6,114.3,112.1,113.2,113,116.5,116.6,112.4,112.8,112.1,111,116.7,NA,114,112.9,NA,NA,115.4,NA,112.7,112,NA,112.4,116,114.8,113.9,113.4,114.1,115.2,115.3
Urban,2011,December,114,NA,115.9,NA,114.3,NA,112.2,115.2,113.8,111.5,114.2,115.7,116.6,114.6,113.5,111.6,123.2,113.9,NA,114.5,111.6,NA,NA,114.1,NA,114,113.9,NA,115,112.7,113.8,111.4,110.7,114.7,115.6,113.3
Rural+Urban,2011,December,113.2,NA,114.7,NA,113.2,NA,112.6,114.9,113,111.2,113.6,115.5,116.1,114.3,113.4,110.4,127.3,113.3,NA,113.3,111.4,NA,NA,115,NA,111.9,112.9,NA,113.4,112.9,113.4,110.7,110.5,114.8,114.5,113.6
Rural,2012,January,114.5,NA,113.9,NA,112.9,NA,113.3,115.8,113.2,114,113.5,117.1,116.9,113.3,113.9,112.3,112.2,117,NA,114.9,114,NA,NA,116.2,NA,114.2,113,NA,113.3,116.6,116.1,115.4,114.3,115.1,116.4,116.3
Urban,2012,January,115.2,NA,116.7,NA,114.9,NA,113,117.7,115.5,111.4,114.6,117,116.9,116.6,115.5,110.8,127.3,113.1,NA,114.7,111.8,NA,NA,115.5,NA,114.9,115.2,NA,118.8,109.6,111.7,111,110.6,115.6,116.3,114.5
Rural+Urban,2012,January,113.3,NA,114.8,NA,112.5,NA,112.7,115.8,113.2,111.4,113.7,116.4,116.1,114.5,113.4,110.8,127.8,113.5,NA,113,111.7,NA,NA,115.8,NA,113.8,113.2,NA,114.4,114.4,114.2,108.4,111.1,115.6,114.2,114.9
Rural,2012,February,113.9,NA,115.3,NA,113.6,NA,113.6,117.4,114.1,111,114.4,116.1,116.1,116.1,115.6,109.4,133,111,NA,113.5,111.1,NA,NA,115.9,NA,112.3,114.2,NA,116.1,110.6,111.1,110.3,109.8,115.8,114.3,114.6
Urban,2012,February,113.8,NA,115.5,NA,112.6,NA,113.1,116.6,114.1,111.6,114.5,117.1,116.6,114.8,113.6,110.6,125.2,114.4,NA,113.6,112.3,NA,NA,116.2,NA,114.3,113.5,NA,115.6,113.6,114.7,109.5,111.8,116,114.7,115.5
Rural+Urban,2012,February,113.8,NA,115.4,NA,112.6,NA,113.3,118.8,114.2,111.1,114.6,117.1,116,116.4,115.4,110.1,133.4,110.5,NA,112.9,111.3,NA,NA,117,NA,114.6,114.4,NA,117.1,112.4,111.2,106.7,110,116.6,113.6,115.9
Rural,2012,March,116,NA,115.1,NA,114.1,NA,113.1,117.4,115,116.1,115.1,118.4,118.4,114.3,115.1,112.6,113.1,119.2,NA,116.3,115.4,NA,NA,118.1,NA,115.3,114.6,NA,115.2,118,117.1,117.2,115.5,116.8,118,116.7
Urban,2012,March,116.8,NA,116.2,NA,115.8,NA,113.7,118.6,115.4,116.9,116.3,119.1,119.5,115.2,116.4,113.3,114.7,119.9,NA,118.5,115.9,NA,NA,119.3,NA,116.3,115.5,NA,116.5,119.8,119,118.6,115.9,117,118.6,117.4
Rural+Urban,2012,March,114.1,NA,116.1,NA,112.6,NA,113.6,119.3,115.3,111.2,115.2,117.7,116.6,116.6,114.9,109.9,130.1,111.7,NA,113.4,111.8,NA,NA,117.3,NA,114.9,114.3,NA,118,111.3,112.4,107.8,110.8,117.1,114.1,115.9
Rural,2012,April,114,NA,115.7,NA,113.7,NA,113.3,117.7,114.7,112.2,115.4,117.8,116.8,115.7,114.6,109.9,128.7,114.7,NA,114.8,113.2,NA,NA,117.1,NA,114.8,114.4,NA,116.3,114.4,116,110,112.6,117.1,115.7,116.6
Urban,2012,April,119.7,NA,118.6,NA,124.1,NA,126.6,119.3,118,121.7,119.5,120.6,121.5,120.2,119.4,107,127.4,128.6,NA,121.9,118.6,NA,NA,120.9,117.4,127.9,118,NA,120.2,121.3,121.3,116.1,124.9,117.1,121.5,124.4
