State,Rural 2011-12 Poverty Expenditure Per Capita,Urban 2011-12 Poverty Expenditure Per Capita,Headcount Ratio (%),2011 rural percentage,FII Rank,CFII,CDI
Andhra Pradesh,860,"1,009",9.2,70.42,0.39374,0.2897,0.521
Arunachal Pradesh,930,"1,060",34.7,77.33,,,
Assam,828,"1,008",32,85.92,0.20857,0.1151,0.707
Bihar,778,923,33.7,88.7,0.20114,0.0731,0.765
Chhattisgarh,738,849,39.9,76.76,0.12939,0.0539,0.752
Goa,"1,090","1,134",9.9,37.83,0.60341,0.5122,0.045
Gujarat,932,"1,152",5.1,57.42,0.26876,0.1324,0.491
Haryana,"1,015","1,169",16.6,75.75,0.28741,0.1368,0.395
Himachal Pradesh,913,"1,064",11.2,89.96,0.41377,0.2798,0.404
Jammu & Kashmir,891,988,8.1,72.79,0.14838,0.0585,0.504
Jharkhand,748,974,10.3,75.95,0.16548,0.0699,0.746
Karnataka,902,"1,089",37,61.43,0.35686,0.2091,0.453
Kerala,"1,018",987,20.9,52.28,0.56375,0.56375,0.095
Madhya Pradesh,771,897,7.1,72.37,0.16104,0.0752,0.759
Maharashtra,967,"1,126",31.6,54.77,0.29832,0.1722,0.352
Manipur,"1,118","1,170",17.4,79.79,,,
Meghalaya,888,"1,154",36.9,79.92,,,
Mizoram,"1,066","1,155",11.9,48.49,,,
Nagaland,"1,270","1,302",20.4,71.03,,,
Orissa/Odisha,695,861,18.9,83.82,0.24537,0.1564,0.798
Punjab,"1,054","1,155",32.6,62.51,0.39179,0.2534,0.345
Rajasthan,905,"1,002",8.3,75.11,0.17369,0.0767,0.626
Sikkim,930,"1,226",14.7,75.03,,,
Tamil Nadu,880,937,8.2,51.55,0.47295,0.2785,0.341
Tripura,798,920,11.3,73.82,,,
Uttar Pradesh,768,941,14,77.72,0.22229,0.1047,0.638
Uttarkhand,880,"1,082",29.4,69.45,0.32742,0.1613,0.383
West Bengal,783,981,11.3,68.11,0.38297,0.2453,0.551
A & N Islands,880,937,20,64.33,,,
Chandigarh,"1,155","1,155",9.7,2.75,,,
Dadra & Nagar Haveli,967,"1,126",1,53.38,,,
Daman & Diu,"1,090","1,134",21.8,24.84,,,
Delhi,"1,145","1,134",39.3,2.5,,,
Lakshadweep,"1,018",987,9.9,21.2,,,
Puducherry,"1,301","1,309",2.8,31.69,,,
India,816,"1,000",21.9,68.84,,,
